idx,Base salt,Initial loading,Final loading,Fitness
1897,NiBr3,0,3.0,3.1226158038147136
877,ZnI2,9,12.0,1.9
2927,NiBr3,1,6.0,2.6690544412607453
3229,GeF4,3,5.0,2.126782884310618
1595,NaI,0,2.0,2.5349544072948325
3715,SrI2,6,9.0,2.355300859598854
893,MgI2,6,8.0,2.145569620253165
1292,MgBr2,4,12.0,1.5286439448875997
1168,VF4,0,3.0,2.1578073089701
1144,SnF2,0,8.0,2.1073929961089495
2694,ScF3,0,3.0,2.0098302055406614
553,YBr3,3,10.0,2.265282583621684
660,Pb(IO3)2,1,6.0,3.5526315789473686
3555,SnF2,9,12.0,1.6517857142857142
1736,PbBr2,1,4.0,3.406103286384977
4160,ZnF2,8,9.0,1.8226950354609932
1321,MgBr2,2,8.0,1.7453061224489794
916,Ba(ClO4)2,3,5.0,2.4166666666666665
23,BeI2,0,8.0,2.1454891994917404
272,FePO4,1,9.0,1.965277777777778
328,LiNO3,0,3.0,1.5973154362416109
2229,BeCl2,7,9.0,1.4501424501424502
530,BaI2,1,12.0,1.8556603773584903
692,Cu(IO3)2,2,6.0,3.1794871794871793
155,Co3(AsO4)2,0,4.0,3.7619047619047623
1869,VF4,5,8.0,1.6523076923076925
4049,ScBr3,3,4.0,2.6097560975609753
681,YCl3,3,6.0,2.0530085959885387
168,KF,2,4.0,1.437759336099585
333,ZrCl4,0,8.0,1.844121532364597
3541,YCl3,2,4.0,1.9838056680161944
3431,GeCl2,2,4.0,1.893169877408056
3979,PbI2,1,2.0,4.615384615384616
4002,PbCl2,4,6.0,2.6373626373626373
3469,ZrBr4,0,2.0,3.352238805970149
627,AlAsO4,7,11.0,1.8714285714285717
2954,NaI,0,3.0,2.2560509554140125
373,CrBr3,0,9.0,2.009273570324575
896,KI,0,1.0,2.4927007299270074
2225,YCl3,6,8.0,1.8079470198675496
3568,ScBr3,4,6.0,2.251732101616628
558,SrHAsO4,2,7.0,1.9493670886075949
250,Li2SO4,0,10.0,1.4690721649484535
1086,ZnF2,1,9.0,1.818646232439336
800,KCl,0,1.0,1.63668430335097
505,LaBr3,0,9.0,2.008555133079848
1491,MoBr4,2,8.0,2.6262203626220364
1220,YCl3,1,6.0,2.05324459234609
491,LiCl,1,4.0,1.4123055162659124
4041,SnI2,0,1.0,4.063063063063063
2984,VCl3,4,9.0,1.4834749763928234
3270,FeCl2,6,9.0,1.649122807017544
79,YBr3,0,9.0,1.9221183800623052
711,TiF4,2,4.0,1.8888888888888888
1432,SnF4,3,8.0,2.048016701461378
626,YBr3,3,9.0,1.9231678486997636
1860,BaBr2,7,12.0,1.687211093990755
3331,CuI2,6,12.0,1.9357945425361156
2233,LaBr3,0,1.0,4.167832167832168
4154,BaBr2,7,8.0,2.291666666666667
1564,LaF3,3,9.0,1.793598233995585
416,AlF3,0,2.0,2.357609710550887
14,Na2S,5,9.0,1.3220191470844211
4133,YI3,6,7.0,2.8053097345132745
1034,BeF2,0,7.0,1.446376811594203
4103,CuI2,6,8.0,2.3624161073825505
1012,Ba(ClO4)2,4,5.0,2.4
4034,HfCl4,4,5.0,2.644578313253012
932,BaCO3,5,6.0,2.409090909090909
911,LaI3,7,10.0,2.598360655737705
787,MgI2,8,12.0,1.7369337979094075
1833,MgBr2,6,9.0,1.8798701298701297
4011,SnBr2,6,8.0,2.3418367346938775
2242,VCl4,3,4.0,1.9923076923076923
207,CoPO4,0,7.0,2.2176470588235295
3305,MgF2,1,2.0,2.158347676419966
240,AlCl3,0,9.0,1.4367504835589942
3409,VF4,5,8.0,1.6523076923076925
2172,KI,0,1.0,2.4927007299270074
624,ScBr3,0,3.0,2.606060606060606
227,VI3,6,9.0,2.3519163763066206
2313,CaBr2,8,9.0,1.8142076502732245
2210,RbBr,3,4.0,1.9829931972789117
2228,YI3,6,8.0,2.6559633027522933
2991,ZnI2,4,12.0,1.9025229357798168
151,MnCl4,3,8.0,1.7545271629778671
694,Zn3(AsO4)2,1,4.0,3.542857142857143
1616,SrI2,2,7.0,2.5141065830721003
57,Ba(OH)2,0,8.0,2.0914285714285716
1669,MgCl2,0,1.0,2.024896265560166
678,NaBrO3,0,2.0,2.2363636363636363
586,MnCl4,0,3.0,2.143364928909953
670,K2HPO4,0,2.0,2.1016949152542375
952,SnBr4,4,5.0,3.0956521739130434
2977,YCl3,0,3.0,1.9732868757259
1471,SrI2,1,6.0,2.717877094972067
3957,CaI2,6,8.0,1.9130434782608696
3044,MgF2,8,12.0,1.373320537428023
1629,YCl3,1,4.0,1.984251968503937
1934,NaCl,1,2.0,1.6621160409556317
1705,GaCl3,0,2.0,2.194189602446483
4190,PbI4,8,9.0,3.071428571428571
1427,LiCl,0,1.0,1.766233766233766
