idx,Base salt,Initial loading,Final loading,Fitness
1909,NiBr3,0,3.0,1.146
877,ZnI2,9,12.0,0.703
238,MnAsO4,0,11.0,3.15
530,Ca(ClO4)2,1,6.0,1.63
1607,NaI,0,2.0,1.668
3738,VI4,5,8.0,0.846
893,MgI2,6,8.0,0.678
1304,MgBr2,4,12.0,2.108
1180,VF4,0,3.0,2.598
1156,SnF2,0,8.0,2.708
3071,YI3,2,6.0,1.671
553,YBr3,3,10.0,1.964
173,K2CO3,0,1.0,0.97
983,Mg(ClO4)2,4,5.0,0.37
1748,PbBr2,1,4.0,1.451
4182,ZnF2,8,9.0,0.257
1333,MgBr2,2,8.0,2.138
2753,CaI2,0,6.0,2.228
23,BeI2,0,8.0,3.377
3520,NaCl,1,2.0,0.974
4210,YI3,9,10.0,0.172
2241,BeCl2,7,9.0,0.509
530,BaI2,1,12.0,1.967
2477,MgI2,0,8.0,3.015
155,Co3(AsO4)2,0,4.0,1.58
1881,VF4,5,8.0,1.074
3612,CaBr2,0,1.0,0.975
681,YCl3,3,6.0,1.433
168,KF,2,4.0,1.386
333,ZrCl4,0,8.0,2.792
3563,YCl3,2,4.0,0.98
629,Ni2As2O7,2,6.0,1.41
368,CaHPO4,1,7.0,2.11
4025,ScBr3,8,9.0,0.453
3491,ZrBr4,0,2.0,1.123
78,Na3PO4,0,8.0,2.95
2976,NaI,0,3.0,1.771
373,CrBr3,0,9.0,2.6
896,KI,0,1.0,0.683
2237,YCl3,6,8.0,0.546
124,Al(IO3)3,0,9.0,2.29
558,SrHAsO4,2,7.0,1.54
250,Li2SO4,0,10.0,2.85
1098,ZnF2,1,9.0,2.848
800,KCl,0,1.0,0.928
505,LaBr3,0,9.0,2.113
1503,MoBr4,2,8.0,1.883
1232,YCl3,1,6.0,2.468
491,LiCl,1,4.0,1.997
4064,VI2,7,8.0,0.425
3006,VCl3,4,9.0,1.571
3292,FeCl2,6,9.0,1.222
79,YBr3,0,9.0,2.468
711,TiF4,2,4.0,1.309
1444,SnF4,3,8.0,1.962
626,YBr3,3,9.0,1.627
1872,BaBr2,7,12.0,1.095
4148,CaI2,6,7.0,0.321
2245,LaBr3,0,1.0,0.596
4176,BaBr2,7,8.0,0.275
1576,LaF3,3,9.0,1.625
416,AlF3,0,2.0,2.525
510,Mn2P2O7,1,6.0,1.77
3002,SrI2,2,8.0,1.753
1046,BeF2,0,7.0,2.994
4125,CuI2,6,8.0,0.352
3193,LaI3,2,6.0,1.502
4057,LaI3,2,3.0,0.453
932,BaCO3,5,6.0,0.53
911,LaI3,7,10.0,0.634
787,MgI2,8,12.0,0.997
1845,MgBr2,6,9.0,1.158
3982,YBr3,0,1.0,0.573
2254,VCl4,3,4.0,0.518
581,Cu(IO3)2,0,2.0,1.62
3327,MgF2,1,2.0,1.254
240,AlCl3,0,9.0,3.714
3074,TiBr4,0,4.0,1.649
2184,KI,0,1.0,0.683
624,ScBr3,0,3.0,1.72
227,VI3,6,9.0,0.675
2326,SrI2,8,9.0,0.348
2222,RbBr,3,4.0,0.583
2240,YI3,6,8.0,0.579
2383,BeCl2,0,12.0,3.407
151,MnCl4,3,8.0,1.744
694,Zn3(AsO4)2,1,4.0,1.24
1628,SrI2,2,7.0,1.604
3454,MgF2,0,1.0,1.119
1681,MgCl2,0,1.0,1.464
678,NaBrO3,0,2.0,1.23
586,MnCl4,0,3.0,1.809
3936,RbBr,3,4.0,0.583
952,SnBr4,4,5.0,0.356
2833,NiCl2,2,6.0,1.992
1483,SrI2,1,6.0,1.946
4034,BaF2,8,9.0,0.449
3066,MgF2,8,12.0,1.431
1641,YCl3,1,4.0,1.512
1946,NaCl,1,2.0,0.974
1717,GaCl3,0,2.0,1.435
2801,HfI4,0,8.0,2.203
1439,LiCl,0,1.0,1.904
132,ScCl3,0,3.0,1.948
3671,YI3,6,10.0,0.898
252,CrAsO4,0,7.0,3.12
2526,ZnCl2,1,9.0,2.662
2975,VCl2,4,9.0,1.649
1129,TiF4,0,4.0,2.758
2936,HfCl4,0,3.0,1.897
279,VF3,0,6.0,3.296
3626,ZnBr2,7,9.0,0.919
1646,KF,2,4.0,1.386
1284,ZrCl4,0,5.0,2.335
29,ZnCl2,0,12.0,2.926
65,GaCl3,1,9.0,2.539
2435,GeF4,0,3.0,3.388
924,MnAsO4,9,11.0,0.53
501,TiF4,0,2.0,2.189
1791,BeCl2,7,12.0,1.12
730,CaHPO4,2,4.0,1.04
904,Mn2As2O7,0,1.0,0.63
1595,VBr3,1,4.0,1.702
1161,YBr3,0,8.0,2.715
2123,ZnBr2,4,6.0,0.776
931,ScI3,6,8.0,0.5
1592,CaI2,2,8.0,1.606
426,SrBr2,1,9.0,2.436
986,Zn3(PO4)2,7,8.0,0.38
763,RbBr,0,2.0,1.126
472,CaCl2,4,12.0,1.954
1843,BaI2,0,2.0,1.277
653,KF,2,4.0,1.386
544,PbCl4,0,5.0,2.052
589,MgI2,1,4.0,1.869
413,LiClO4,2,9.0,1.89
3544,CaCl2,0,1.0,0.983
1227,SnF4,0,2.0,2.641
2533,SnCl4,0,8.0,2.723
