idx,Base salt,Initial loading,Final loading,Fitness,Origin
1446,SrI2,2.0,9.0,2.027,s
756,NiSO4,0.0,1.0,1.82,e
3473,MgCl2,4.0,9.0,1.854,s
1458,GeF4,2.0,5.0,1.935,s
4360,PbI2,2.0,4.0,0.81,s
953,Zn(CH3COO)2,1.0,2.0,0.44,e
1605,SrI2,6.0,12.0,1.201,s
1676,MnCl4,3.0,5.0,0.913,s
4951,LiOH,0.0,7.0,3.61,s
3999,MgI2,2.0,4.0,1.219,s
1107,MnCl4,2.0,8.0,2.142,s
5194,Co3(AsO4)2,0.0,7.0,1.98,s
902,UO2Br2,0.0,3.0,1.59,e
4997,LiOH,0.0,3.0,2.42,s
3169,VCl2,0.0,8.0,2.711,s
2872,CrI3,6.0,9.0,0.725,s
431,LaCl3,0.0,1.0,0.83,e
1222,NaF,0.0,4.0,3.103,s
2426,GeI4,0.0,8.0,1.574,s
886,UF4,0.0,2.0,1.34,e
5309,BaHAsO4,2.0,7.0,1.49,s
978,ZnCl2,0.0,1.33,1.01,e
4353,HfF4,0.0,1.0,0.829,s
4431,LaI3,6.0,9.0,0.715,s
3362,MgI2,1.0,6.0,2.339,s
3424,HfF4,2.0,8.0,2.176,s
1252,SnF4,0.0,4.0,3.115,s
470,Mg(ClO4)2,0.0,6.0,2.42,e
3511,CrI3,0.0,6.0,2.031,s
1059,VCl4,0.0,8.0,2.679,s
4968,VPO4,0.0,9.0,3.39,s
201,CrCl2,0.0,4.0,2.4,e
5420,NaClO4,1.0,3.0,1.06,s
3638,ZnCl2,6.0,12.0,1.55,s
415,La(NO3)3,3.0,4.0,0.39,e
4476,FeCl2,9.0,12.0,0.566,s
2360,BaI2,0.0,4.0,1.728,s
1097,MgBr2,4.0,12.0,2.108,s
170,Co(ClO4)2,0.0,6.0,1.06,e
179,CoBr2,0.0,4.0,1.75,e
2490,CaI2,1.0,4.0,1.416,s
5196,CaHPO4,0.0,3.0,1.85,s
3858,BaCl2,4.0,9.0,1.316,s
605,Na2CrO4,0.0,10.0,2.29,e
4875,Co3(AsO4)2,0.0,8.0,2.38,s
2995,PbCl4,3.0,4.0,0.446,s
2961,LaBr3,1.0,2.0,0.568,s
2187,YBr3,2.0,8.0,2.083,s
5358,CrAsO4,7.0,11.0,1.27,s
5079,LaAsO4,0.0,9.0,2.34,s
3155,ZnCl2,0.0,9.0,2.914,s
2760,SrCl2,2.0,4.0,0.881,s
682,NaI,0.0,2.0,1.49,e
235,CsGa(SeO4)2,0.0,12.0,2.54,e
1332,CaF2,0.0,4.0,2.38,s
5301,FeAsO4,0.0,1.0,1.6,s
1403,MgBr2,2.0,8.0,2.138,s
3618,MnBr4,3.0,8.0,1.785,s
4599,ZrBr4,2.0,3.0,0.472,s
1111,CrI3,0.0,9.0,2.171,s
5092,CaHPO4,1.0,7.0,2.11,s
398,KCr(SO4)2,6.0,12.0,1.15,e
4199,PbCl2,2.0,4.0,0.975,s
5589,Mn2P2O7,0.0,1.0,0.65,s
5064,LiClO4,1.0,9.0,2.19,s
4183,TiBr4,5.0,8.0,0.971,s
4472,SnF4,4.0,5.0,0.642,s
808,Sm2(CrO4)3,2.0,7.0,1.16,e
1832,VF2,0.0,12.0,3.522,s
1168,AlBr3,6.0,9.0,0.906,s
3742,SrBr2,0.0,2.0,1.593,s
1560,VF3,3.0,6.0,1.429,s
386,K4Fe(CN)6,0.0,3.0,0.66,e
3173,MgI2,1.0,12.0,2.799,s
856,SrCl2,0.0,6.0,2.7,e
4338,NiCl2,1.0,2.0,0.813,s
2967,ZnI2,6.0,8.0,0.5,s
101,Ca5Si6O17,3.0,5.5,0.54,e
80,Ca(Al2Si2O6)2,2.0,4.0,0.46,e
795,RbOH,1.0,2.0,1.12,e
3676,NiI2,4.0,12.0,1.593,s
4059,YCl3,4.0,6.0,1.09,s
2446,GaBr3,0.0,3.0,1.53,s
