idx,Base salt,Initial loading,Final loading,Fitness
0,CoF3,0,9.0,4.397
1,BeCl2,0,4.0,3.816
2,AlCl3,0,9.0,3.714
3,AlCl3,0,6.0,3.833
4,CrF3,0,9.0,3.765
5,MgCl2,0,12.0,3.392
6,AlF3,0,9.0,3.537
7,VF2,0,12.0,3.522
8,ZnF2,0,12.0,3.533
9,GeF4,0,5.0,3.789
10,MoF3,0,9.0,3.662
11,MgF2,0,12.0,3.375
12,NiF2,0,4.0,3.759
13,BeBr2,0,4.0,3.681
14,AlBr3,0,9.0,3.524
15,MgBr2,0,12.0,3.29
16,MgCl2,1,12.0,3.062
17,AlBr3,0,6.0,3.564
18,SnF4,0,8.0,3.482
19,GaF3,0,9.0,3.301
20,TiF4,0,8.0,3.219
21,CaCl2,0,12.0,2.944
22,ZnF2,0,4.0,3.433
23,BeI2,0,8.0,3.377
24,NaF,0,4.0,3.103
25,CaF2,0,12.0,2.971
26,MgI2,0,9.0,3.365
27,SnF4,0,5.0,3.371
28,ScCl3,0,9.0,2.935
29,ZnCl2,0,12.0,2.926
30,BeI2,0,4.0,3.336
31,ScF3,0,9.0,2.97
32,MgI2,0,12.0,3.077
33,MgCl2,2,12.0,2.757
34,TiF4,0,5.0,3.058
35,CaCl2,1,12.0,2.689
36,KF,0,4.0,2.834
37,GeF4,0,2.0,3.254
38,GaCl3,0,9.0,2.911
39,CaBr2,0,12.0,2.844
40,CrCl3,0,9.0,2.861
41,MgCl2,0,4.0,2.875
42,AlI3,0,9.0,3.103
43,RbF,0,4.0,2.923
44,SrCl2,0,12.0,2.662
45,AlF3,0,3.0,2.932
46,ScCl3,0,6.0,2.798
47,MnCl4,0,8.0,2.833
48,ZnBr2,0,12.0,2.804
49,AlI3,0,6.0,3.034
50,YCl3,0,6.0,2.887
51,ZrF4,0,8.0,2.805
52,CoBr2,0,12.0,2.743
53,HfF4,0,8.0,2.906
54,YF3,0,9.0,2.695
55,YCl3,0,9.0,2.619
56,ScBr3,0,9.0,2.763
57,CaBr2,1,12.0,2.575
58,VCl4,0,8.0,2.679
59,CaI2,0,12.0,2.657
60,VF3,0,3.0,2.822
61,SrBr2,0,12.0,2.586
62,MgBr2,0,4.0,2.803
63,SnCl4,0,8.0,2.723
64,LiCl,0,2.0,2.578
65,GaCl3,1,9.0,2.539
66,CrBr3,0,9.0,2.6
67,BaCl2,0,12.0,2.389
68,ZnI2,0,12.0,2.544
69,BeF2,0,2.0,2.485
70,YBr3,0,6.0,2.675
71,ScBr3,0,6.0,2.593
72,PbCl2,0,12.0,2.478
73,GaBr3,0,9.0,2.555
74,CaBr2,2,12.0,2.341
75,MgCl2,4,12.0,2.198
76,MnI2,0,9.0,2.568
77,YI3,0,9.0,2.612
78,SrI2,0,12.0,2.433
79,YBr3,0,9.0,2.468
80,HfF4,0,5.0,2.604
81,PbCl4,0,8.0,2.545
82,LiBr,0,2.0,2.524
83,SnF4,0,2.0,2.641
84,AlF3,3,9.0,2.297
85,CuCl2,0,4.0,2.463
86,ScI3,0,9.0,2.486
87,SrCl2,2,12.0,2.191
88,RbF,0,2.0,2.485
89,KF,0,2.0,2.301
90,BaBr2,0,12.0,2.31
91,LaCl3,0,6.0,2.45
92,YI3,0,8.0,2.503
93,ZrF4,0,3.0,2.509
94,ZnF2,4,12.0,2.25
95,HfF4,0,3.0,2.581
96,GaF3,3,9.0,2.308
97,MgI2,0,4.0,2.486
98,SnF4,2,8.0,2.375
99,CaCl2,0,4.0,2.177
100,VBr4,0,8.0,2.39
101,SrI2,1,12.0,2.221
102,YI3,0,7.0,2.402
103,CaI2,2,12.0,2.184
104,LaI3,0,9.0,2.375
105,MgBr2,4,12.0,2.108
106,SrBr2,2,12.0,2.124
107,LaBr3,0,8.0,2.324
108,CaCl2,4,12.0,1.954
109,SrI2,0,6.0,2.352
110,KCl,0,4.0,2.0
111,MgCl2,0,2.0,2.186
112,BaI2,0,12.0,2.19
113,LaBr3,0,6.0,2.339
114,GaF3,0,3.0,2.308
115,YI3,0,6.0,2.356
116,ScI3,0,6.0,2.312
117,MnCl4,2,8.0,2.142
118,SnCl4,0,5.0,2.247
119,MgCl2,1,4.0,2.08
120,BaBr2,1,12.0,2.097
121,LiI,0,2.0,2.268
122,BaCl2,2,12.0,1.958
123,ScCl3,3,9.0,1.924
124,CrI3,0,9.0,2.171
125,PbCl2,2,12.0,2.035
126,SrI2,2,12.0,2.015
127,NaCl,0,2.0,1.949
128,SnCl2,0,4.0,2.059
129,MgI2,4,12.0,1.956
130,RbF,1,4.0,1.982
131,BaI2,1,12.0,1.967
132,ScCl3,0,3.0,1.948
133,CuBr2,0,4.0,2.093
134,GaI3,0,9.0,2.052
135,RbF,0,1.0,2.085
136,LaI3,0,6.0,2.099
137,BaBr2,2,12.0,1.895
138,RbCl,0,4.0,1.866
139,LiCl,0,1.0,1.904
140,GeBr2,0,4.0,2.016
141,KBr,0,4.0,1.846
142,BaI2,0,6.0,2.029
143,GeF4,2,5.0,1.935
144,CsF,0,2.0,1.993
145,GaBr3,2,9.0,1.912
146,PbCl2,0,4.0,1.991
147,PbF2,0,2.0,2.061
148,SrI2,1,6.0,1.946
149,BaI2,2,12.0,1.785
150,NaBr,0,2.0,1.831
151,MnCl4,3,8.0,1.744
152,BaF2,0,2.0,1.914
153,MnCl4,0,3.0,1.809
154,SnF4,2,5.0,1.836
155,LiBr,0,1.0,1.859
156,SnBr2,0,4.0,1.863
157,PbBr2,0,4.0,1.871
158,SnF2,0,2.0,1.848
159,MgI2,4,9.0,1.765
160,CaCl2,1,4.0,1.618
161,SnBr4,0,5.0,1.778
162,ZrF4,3,8.0,1.623
163,HfF4,3,8.0,1.702
164,PbCl2,4,12.0,1.61
165,SrCl2,0,2.0,1.71
166,NaI,0,2.0,1.668
167,BaI2,1,6.0,1.624
168,KF,2,4.0,1.386
169,SnCl2,0,2.0,1.579
170,SrBr2,0,2.0,1.593
171,SrI2,2,6.0,1.554
172,CaBr2,0,2.0,1.529
173,MgCl2,0,1.0,1.464
174,SnI2,0,4.0,1.552
175,CsF,0,1.0,1.556
176,ScCl3,3,6.0,1.363
177,MgCl2,2,4.0,1.346
178,BaCl2,0,2.0,1.458
179,PbCl2,0,2.0,1.461
180,RbF,2,4.0,1.305
181,LiCl,1,2.0,1.239
182,MnCl4,0,2.0,1.318
183,BaBr2,0,2.0,1.338
184,SnBr2,0,2.0,1.329
185,SrI2,6,12.0,1.201
186,BaI2,2,6.0,1.292
187,SrI2,0,2.0,1.296
188,GaBr3,0,2.0,1.255
189,LiBr,1,2.0,1.206
190,BaI2,0,2.0,1.277
191,CaI2,0,2.0,1.231
192,BeI2,4,8.0,1.144
193,AlCl3,6,9.0,1.013
194,TiF4,5,8.0,1.041
195,GeCl2,2,4.0,1.081
196,BaI2,6,12.0,1.076
197,MnCl2,0,1.0,1.131
198,MgCl2,1,2.0,1.049
199,ScCl3,6,9.0,0.963
200,SnF4,5,8.0,1.05
201,RbF,1,2.0,1.04
202,SnCl4,5,8.0,1.01
203,HfF4,5,8.0,1.031
204,CaCl2,0,1.0,0.983
205,VCl3,6,9.0,0.919
206,SnCl2,2,4.0,0.98
207,CaBr2,0,1.0,0.975
208,PbCl2,2,4.0,0.975
209,AlBr3,6,9.0,0.906
210,NiCl2,0,1.0,0.959
211,GaCl3,0,1.0,0.922
212,HfF4,3,5.0,0.932
213,YCl3,6,9.0,0.82
214,ScBr3,6,9.0,0.859
215,SnBr2,2,4.0,0.91
216,CsF,1,2.0,0.893
217,YBr3,6,9.0,0.754
218,BaBr2,0,1.0,0.823
219,YI3,6,9.0,0.777
220,MgI2,9,12.0,0.72
221,SrI2,0,1.0,0.793
222,AlI3,6,9.0,0.749
223,ScI3,6,9.0,0.738
224,BaI2,0,1.0,0.78
225,CaBr2,1,2.0,0.713
226,LaI3,6,9.0,0.715
227,VI3,6,9.0,0.675
228,MnCl4,2,3.0,0.66
229,BaBr2,1,2.0,0.65
230,SrI2,1,2.0,0.637
231,YI3,6,8.0,0.579
232,BaI2,1,2.0,0.574
233,YI3,7,9.0,0.499
234,LaBr3,6,8.0,0.416
235,YI3,6,7.0,0.317
236,YI3,7,8.0,0.287
237,YI3,8,9.0,0.225
238,CoF3,0,9.0,4.397
239,BeCl2,0,4.0,3.816
240,AlCl3,0,9.0,3.714
241,AlCl3,0,6.0,3.833
242,CrF3,0,9.0,3.765
243,NiF2,0,12.0,3.716
244,MgCl2,0,12.0,3.392
245,MgCl2,0,9.0,3.56
246,GeF4,0,8.0,3.738
247,AlF3,0,9.0,3.537
248,VF2,0,12.0,3.522
249,ZnF2,0,12.0,3.533
250,GeF4,0,5.0,3.789
251,MoF3,0,9.0,3.662
252,MgF2,0,12.0,3.375
253,CuF2,0,12.0,3.515
254,NiF2,0,4.0,3.759
255,BeBr2,0,9.0,3.553
256,BeBr2,0,8.0,3.595
257,BeBr2,0,4.0,3.681
258,MgBr2,0,9.0,3.519
259,AlBr3,0,9.0,3.524
260,SiF4,0,8.0,3.344
261,MgBr2,0,12.0,3.29
262,MgCl2,1,12.0,3.062
263,GeF4,0,4.0,3.565
264,AlBr3,0,6.0,3.564
265,SnF4,0,8.0,3.482
266,VF4,0,8.0,3.29
267,GaF3,0,9.0,3.301
268,TiF4,0,8.0,3.219
269,CaCl2,0,12.0,2.944
270,TiF3,0,9.0,3.156
271,SiF4,0,5.0,3.273
272,ZnF2,0,4.0,3.433
273,BeI2,0,8.0,3.377
274,MgCl2,1,9.0,3.088
275,BeI2,0,7.0,3.401
276,NaF,0,4.0,3.103
277,CaF2,0,12.0,2.971
278,MgI2,0,9.0,3.365
279,VF3,0,6.0,3.296
280,SnF4,0,5.0,3.371
281,GeF4,0,3.0,3.388
282,BeI2,0,9.0,3.293
283,BeF2,0,4.0,3.134
284,ScCl3,0,9.0,2.935
285,BeI2,0,12.0,3.137
286,ZnCl2,0,12.0,2.926
287,VF4,0,5.0,3.153
288,BeI2,0,4.0,3.336
289,ScF3,0,9.0,2.97
290,MgBr2,1,12.0,2.979
291,MgI2,0,12.0,3.077
292,MgCl2,2,12.0,2.757
293,MgF2,0,4.0,3.052
294,TiF4,0,5.0,3.058
295,MgBr2,1,9.0,3.077
296,ZnF2,2,12.0,2.918
297,CaCl2,1,12.0,2.689
298,KF,0,4.0,2.834
299,MgBr2,0,8.0,2.992
300,GeF4,0,2.0,3.254
301,MnCl2,0,9.0,2.931
302,GaCl3,0,9.0,2.911
303,MgBr2,0,6.0,3.094
304,CaBr2,0,12.0,2.844
305,CrCl3,0,9.0,2.861
306,LiCl,0,4.0,2.8
307,MgCl2,0,4.0,2.875
308,AlI3,0,9.0,3.103
309,CuCl2,0,12.0,2.756
310,SnF4,0,4.0,3.115
311,RbF,0,4.0,2.923
312,MgI2,0,8.0,3.015
313,SrF2,0,12.0,2.75
314,SrCl2,0,12.0,2.662
315,AlF3,2,9.0,2.75
316,CaBr2,0,9.0,2.878
317,AlF3,0,3.0,2.932
318,ScCl3,0,6.0,2.798
319,MnCl4,0,8.0,2.833
320,MgI2,1,9.0,2.967
321,ZnBr2,0,12.0,2.804
322,AlI3,0,6.0,3.034
323,MgI2,1,12.0,2.799
324,SnF2,0,12.0,2.759
325,YCl3,0,8.0,2.818
326,YCl3,0,6.0,2.887
327,ZrF4,0,8.0,2.805
328,MgCl2,2,9.0,2.653
329,MgBr2,2,12.0,2.677
330,MnCl2,0,6.0,2.812
331,CoBr2,0,12.0,2.743
332,YBr3,0,10.0,2.92
333,ZrCl4,0,8.0,2.792
334,HfCl4,0,8.0,2.898
335,NiCl2,0,6.0,2.826
336,HfF4,0,8.0,2.906
337,LiCl,0,3.0,2.588
338,YF3,0,9.0,2.695
339,ZnBr2,0,9.0,2.846
340,YCl3,0,7.0,2.787
341,CaCl2,2,12.0,2.447
342,YCl3,0,9.0,2.619
343,NiBr2,0,12.0,2.716
344,MnBr2,0,9.0,2.803
345,ScBr3,0,9.0,2.763
346,CaF2,2,12.0,2.51
347,TiF4,0,4.0,2.758
348,CaBr2,1,12.0,2.575
349,VCl4,0,8.0,2.679
350,CaI2,0,12.0,2.657
351,VF3,0,3.0,2.822
352,GaCl3,0,6.0,2.735
353,SrBr2,0,9.0,2.785
354,LiBr,0,4.0,2.702
355,PbF2,0,12.0,2.75
356,MgI2,0,6.0,2.828
357,SrBr2,0,12.0,2.586
358,MgBr2,0,4.0,2.803
359,SnCl4,0,8.0,2.723
360,LiCl,0,2.0,2.578
361,CaI2,0,9.0,2.738
362,SnF4,0,3.0,2.855
363,CoCl3,0,9.0,2.569
364,MnCl2,1,9.0,2.563
365,MgBr2,2,9.0,2.647
366,GaCl3,1,9.0,2.539
367,SnCl2,0,12.0,2.485
368,NaCl,0,4.0,2.456
369,YBr3,0,8.0,2.715
370,MgBr2,1,8.0,2.559
371,SrCl2,0,6.0,2.599
372,LiBr,0,3.0,2.579
373,CrBr3,0,9.0,2.6
374,MgI2,2,12.0,2.506
375,BaCl2,0,12.0,2.389
376,MgI2,1,8.0,2.611
377,SrI2,0,9.0,2.646
378,ZnI2,0,12.0,2.544
379,BeF2,0,2.0,2.485
380,YBr3,0,7.0,2.645
381,YBr3,0,6.0,2.675
382,CaBr2,1,9.0,2.499
383,LaCl3,0,7.0,2.601
384,CoCl3,0,6.0,2.541
385,ScBr3,0,6.0,2.593
386,PbCl2,0,12.0,2.478
387,GaBr3,0,9.0,2.555
388,CaBr2,2,12.0,2.341
389,ZnF2,0,2.0,2.679
390,CaI2,1,12.0,2.425
391,YI3,0,10.0,2.613
392,MgCl2,4,12.0,2.198
393,ZnI2,0,9.0,2.588
394,MnI2,0,9.0,2.568
395,TiF4,0,3.0,2.525
396,MgI2,2,9.0,2.55
397,YI3,0,9.0,2.612
398,SrI2,0,12.0,2.433
399,MgBr2,1,6.0,2.515
400,SrBr2,1,12.0,2.355
401,YBr3,0,9.0,2.468
402,ScI3,0,8.0,2.594
403,SrBr2,0,6.0,2.565
404,MgF2,4,12.0,2.242
405,WCl4,0,8.0,2.55
406,GeBr2,0,12.0,2.353
407,CaF2,0,4.0,2.38
408,HfF4,0,5.0,2.604
409,PbCl4,0,8.0,2.545
410,LiBr,0,2.0,2.524
411,NiF2,4,12.0,2.327
412,GeF4,2,8.0,2.426
413,SnF4,0,2.0,2.641
414,AlF3,3,9.0,2.297
415,SrF2,2,12.0,2.283
416,AlF3,0,2.0,2.525
417,LaBr3,0,10.0,2.521
418,CuCl2,0,4.0,2.463
419,ScI3,0,9.0,2.486
420,TiF4,2,8.0,2.314
421,ZrBr4,0,8.0,2.531
422,SrCl2,2,12.0,2.191
423,RbF,0,2.0,2.485
424,ZrF4,0,5.0,2.441
425,NiCl2,1,6.0,2.411
426,SrBr2,1,9.0,2.436
427,KF,0,2.0,2.301
428,BaBr2,0,12.0,2.31
429,LaCl3,0,6.0,2.45
430,NiCl3,0,6.0,2.378
431,CaI2,1,9.0,2.414
432,YI3,0,8.0,2.503
433,ZrF4,0,3.0,2.509
434,ZnF2,4,12.0,2.25
435,HfF4,0,3.0,2.581
436,GaF3,3,9.0,2.308
437,GaCl3,2,9.0,2.256
438,SnBr2,0,12.0,2.304
439,LaBr3,0,7.0,2.503
440,MgI2,0,4.0,2.486
441,LaF3,0,9.0,2.311
442,LiI,0,3.0,2.433
443,SnF4,2,8.0,2.375
444,MnCl4,0,5.0,2.352
445,ScI3,0,7.0,2.474
446,SnF2,2,12.0,2.256
447,NaBr,0,4.0,2.302
448,ZnCl2,0,4.0,2.369
449,MnCl2,1,6.0,2.295
450,KF,1,4.0,2.138
