idx,Base salt,Initial loading,Final loading,Fitness
0,CoF3,0,9.0,77.17804396466667
1,BeCl2,0,4.0,95.29031886
2,AlCl3,0,9.0,84.86714121111112
3,AlCl3,0,6.0,92.62885051333336
4,CrF3,0,9.0,69.61918544433334
5,MgCl2,0,12.0,70.08892425
6,AlF3,0,9.0,64.235166489
7,VF2,0,12.0,60.108306282
8,ZnF2,0,12.0,59.89027139116667
9,GeF4,0,5.0,85.0579293168
10,MoF3,0,9.0,70.680750219
11,MgF2,0,12.0,57.065563412833335
12,NiF2,0,4.0,69.19029046
13,BeBr2,0,4.0,101.65143596
14,AlBr3,0,9.0,86.3851270022222
15,MgBr2,0,12.0,71.81923575
16,MgCl2,1,12.0,65.02278981818182
17,AlBr3,0,6.0,96.31936978
18,SnF4,0,8.0,71.99576755
19,GaF3,0,9.0,61.17205537266667
20,TiF4,0,8.0,66.7688910895
21,CaCl2,0,12.0,64.75160416666667
22,ZnF2,0,4.0,65.2186326305
23,BeI2,0,8.0,80.06567716500001
24,NaF,0,4.0,57.56581532175001
25,CaF2,0,12.0,54.0696881025
26,MgI2,0,9.0,74.59774722222221
27,SnF4,0,5.0,80.4727837512
28,ScCl3,0,9.0,72.47658243333333
29,ZnCl2,0,12.0,60.124825166666675
30,BeI2,0,4.0,105.906173175
31,ScF3,0,9.0,57.981572375999995
32,MgI2,0,12.0,73.0319385
33,MgCl2,2,12.0,60.4692756
34,TiF4,0,5.0,72.27859713360002
35,CaCl2,1,12.0,60.98706090909091
36,KF,0,4.0,64.13471540325
37,GeF4,0,2.0,104.029770362
38,GaCl3,0,9.0,68.46954533333333
39,CaBr2,0,12.0,66.70956933333333
40,CrCl3,0,9.0,67.55217
41,MgCl2,0,4.0,74.01741750000001
42,AlI3,0,9.0,83.70170143111112
43,RbF,0,4.0,69.99263948950001
44,SrCl2,0,12.0,61.108303500000005
45,AlF3,0,3.0,67.53864251066666
46,ScCl3,0,6.0,73.0657135
47,MnCl4,0,8.0,68.81313125
48,ZnBr2,0,12.0,60.83522266666666
49,AlI3,0,6.0,95.24830405333334
50,YCl3,0,6.0,71.08616490000001
51,ZrF4,0,8.0,60.009553713
52,CoBr2,0,12.0,59.18552663333333
53,HfF4,0,8.0,62.0326871175
54,YF3,0,9.0,56.370607947
55,YCl3,0,9.0,68.9781807
56,ScBr3,0,9.0,72.87851746666666
57,CaBr2,1,12.0,63.07330718181818
58,VCl4,0,8.0,65.52189575000001
59,CaI2,0,12.0,67.20159075
60,VF3,0,3.0,67.97832387700001
61,SrBr2,0,12.0,63.16659000000001
62,MgBr2,0,4.0,77.364246
63,SnCl4,0,8.0,69.19036200000001
64,LiCl,0,2.0,62.699988000000005
65,GaCl3,1,9.0,63.599526375
66,CrBr3,0,9.0,65.252538
67,BaCl2,0,12.0,57.296160000000015
68,ZnI2,0,12.0,59.60441533333333
69,BeF2,0,2.0,59.37287498999999
70,YBr3,0,6.0,72.93021929999999
71,ScBr3,0,6.0,75.34405714999998
72,PbCl2,0,12.0,56.76050899999999
73,GaBr3,0,9.0,64.290301
74,CaBr2,2,12.0,60.19801920000001
75,MgCl2,4,12.0,52.35365625
76,MnI2,0,9.0,58.5986488888889
77,YI3,0,9.0,70.26512826666666
78,SrI2,0,12.0,64.07856758333332
79,YBr3,0,9.0,70.0140804
80,HfF4,0,5.0,64.0189901096
81,PbCl4,0,8.0,66.3878955
82,LiBr,0,2.0,69.178625
83,SnF4,0,2.0,91.593303964
84,AlF3,3,9.0,48.84897649566667
85,CuCl2,0,4.0,61.075924
86,ScI3,0,9.0,72.5611876
87,SrCl2,2,12.0,54.56070360000001
88,RbF,0,2.0,77.4836559545
89,KF,0,2.0,65.5592486395
90,BaBr2,0,12.0,58.5610285
91,LaCl3,0,6.0,64.66387350000001
92,YI3,0,8.0,72.191096925
93,ZrF4,0,3.0,67.48387666
94,ZnF2,4,12.0,44.33286537475
95,HfF4,0,3.0,68.493351864
96,GaF3,3,9.0,52.1658905995
97,MgI2,0,4.0,79.839672
98,SnF4,2,8.0,58.53623165333332
99,CaCl2,0,4.0,65.3016605
100,VBr4,0,8.0,62.5976509375
101,SrI2,1,12.0,61.709932
102,YI3,0,7.0,73.01879074285715
