idx,Base salt,Initial loading,Final loading,Fitness
0,AgF,0.0,1.0,6.61
1,Al(NO3)3,6.0,9.0,1.22
2,Al(NO3)3,0.0,9.0,1.72
3,Al(NO3)3,0.0,6.0,1.72
4,Al3(OH)3(PO4)2,0.67,5.0,2.2
5,Al3(OH)3(PO4)2,0.0,5.0,2.27
6,Al2(OH)4SO4,2.0,7.0,1.61
7,Al2(OH)4SO4,0.0,7.0,1.79
8,Al2(OH)4SO4,0.0,2.0,2.18
9,Al2(SO4)3,16.5,18.0,0.93
10,Al2(SO4)3,14.0,18.0,1.05
11,Al2(SO4)3,6.0,18.0,1.43
12,Al2(SO4)3,0.0,18.0,1.7
13,Al2(SO4)3,14.0,16.5,1.08
14,Al2(SO4)3,6.0,16.5,1.47
15,Al2(SO4)3,0.0,16.5,1.77
16,Al2(SO4)3,6.0,14.0,1.45
17,Al2(SO4)3,0.0,14.0,1.77
18,Al2(SO4)3,0.0,6.0,2.34
19,Al2O3,1.0,3.0,2.19
20,Al2O3,0.0,1.0,3.07
21,AlCl3,0.0,6.0,1.7
22,AlF3,3.0,9.0,1.12
23,AlF3,1.0,9.0,1.33
24,AlF3,0.0,9.0,1.44
25,AlF3,1.0,3.0,1.75
26,AlF3,0.5,3.0,1.97
27,AlF3,0.0,3.0,2.01
28,AlF3,0.0,1.0,3.59
29,AlPO4,0.0,2.0,2.06
30,AlPO4,0.0,1.0,2.56
31,As2O5,1.67,4.0,2.31
32,As2O5,0.0,4.0,2.57
33,Ba(ClO4)2,1.0,3.0,2.78
34,Ba(ClO4)2,0.0,3.0,2.93
35,Ba(IO3)2,0.0,1.0,4.68
36,Ba(N3)2,0.0,1.0,2.97
37,Ba(OH)2,3.0,8.0,1.71
38,Ba(OH)2,1.0,7.0,1.93
39,Ba(OH)2,0.0,7.0,2.06
40,Ba(OH)2,1.0,3.0,2.65
41,Ba(OH)2,0.0,3.0,2.88
42,Ba(OH)2,1.0,1.3,3.5
43,Ba(OH)2,0.0,1.3,3.86
44,Ba(OH)2,0.0,1.0,3.67
45,BaAl2O4,0.0,1.0,8.29
46,BaBr2,1.0,2.0,3.64
47,BaBr2,0.0,2.0,4.09
48,BaBr2,0.0,1.0,4.15
49,BaC2O4,0.5,1.0,3.26
50,BaCl2,1.0,2.0,2.87
51,BaCl2,0.0,2.0,3.11
52,BaCl2,0.0,1.0,3.31
53,BaI2,0.0,6.0,4.55
54,BaI2,1.0,2.0,4.08
55,BaI2,0.0,2.0,4.29
56,BaI2,0.0,1.0,4.57
57,BeCl2,0.0,4.0,1.55
58,BeSeO4,2.0,4.0,1.7
59,BeSeO4,0.0,4.0,2.03
60,BeSeO4,0.0,2.0,2.04
61,BeSO4,3.0,4.0,1.18
62,BeSO4,2.0,4.0,1.36
63,BeSO4,1.0,4.0,1.54
64,BeSO4,0.0,4.0,1.71
65,BeSO4,2.0,3.0,1.33
66,BeSO4,1.0,3.0,1.51
67,BeSO4,0.0,3.0,1.71
68,BeSO4,1.0,2.0,1.74
69,BeSO4,0.0,2.0,2.0
70,BeSO4,0.0,1.0,2.29
71,BiCl3,0.0,1.0,4.03
72,(CH3)(NH2)Al(SO4)2,0.0,12.0,1.73
73,(CH3)(NH2)Cr(SO4)2,0.0,12.0,1.82
74,(CH3)(NH2)Fe(SO4)2,0.0,12.0,1.84
75,Ca6Al2(OH)12(SO4)3,0.0,26.0,1.78
76,Ca6Al2(OH)12(SO4)3,7.0,26.0,1.6
77,Ca6Fe2(OH)12(SO4)3,2.0,26.0,1.84
78,Ca6Al2(OH)12(CO3)3,3.0,26.0,1.69
79,Ca(Al2Si2O6)2,3.5,4.0,1.91
80,Ca(Al2Si2O6)2,2.0,4.0,2.11
81,Ca(Al2Si2O6)2,2.0,3.5,2.1
82,Ca(CH3COO)2,0.0,1.0,1.51
83,Ca(ClO4)2,0.0,4.0,2.12
84,Ca(H2PO4)2,0.0,1.0,2.23
85,Ca(IO3)2,1.0,6.0,2.91
86,Ca(IO3)2,0.0,6.0,3.02
87,Ca(IO3)2,0.0,1.0,4.08
88,Ca(NO3)2,3.0,4.0,1.47
89,Ca(NO3)2,2.0,4.0,1.61
90,Ca(NO3)2,0.0,4.0,1.91
91,Ca(NO3)2,2.0,3.0,1.59
92,Ca(NO3)2,0.0,3.0,1.9
93,Ca(NO3)2,0.0,2.0,2.15
94,Ca2AlF7,0.0,1.0,2.89
95,Ca2Fe(PO4)2,0.5,4.0,3.14
96,Ca2SiO4,0.0,1.17,2.66
97,Ca3Si2O7,0.0,3.0,2.61
98,Ca3Al2O6,0.0,6.0,2.53
99,Ca5Si6O17,5.5,10.5,2.29
100,Ca5Si6O17,3.0,10.5,2.45
101,Ca5Si6O17,3.0,5.5,2.88
102,CaAl2Si2O8,0.0,1.0,5.85
103,CaAl2Si7O18,6.0,7.0,1.85
104,Ca(B(OH)4)2,0.0,2.0,1.9
106,CaBr2,6.0,9.0,1.38
107,CaBr2,0.0,9.0,1.96
108,CaBr2,0.0,6.0,2.21
109,CaC2O4,0.0,1.0,2.22
110,CaCl2,4.0,6.0,1.15
111,CaCl2,2.0,6.0,1.43
112,CaCl2,1.0,6.0,1.57
113,CaCl2,0.0,6.0,1.71
114,CaCl2,2.0,4.0,1.47
115,CaCl2,1.0,4.0,1.65
116,CaCl2,0.0,4.0,1.83
117,CaCl2,1.0,2.0,1.62
118,CaCl2,0.0,2.0,1.84
119,CaCl2,0.0,1.0,2.24
120,CaCO3,1.0,6.0,1.65
121,CaCO3,0.0,6.0,1.81
122,CaCO3,0.0,1.0,2.85
123,CaCrO4,0.0,2.0,2.2
124,CaHPO4,0.0,2.0,2.32
125,CaI2,0.0,8.0,2.55
126,CaMg(B3O7H3)2,2.2,3.0,1.92
127,CaMg(B3O7H3)2,0.0,3.0,2.18
128,CaMg(B3O7H3)2,0.0,2.2,2.18
129,CaNaB5O12H6,1.0,5.0,1.86
130,CaO,0.0,8.0,1.57
131,CaSeO4,0.0,2.0,2.76
132,CaSiF6,0.0,2.0,2.66
133,CaSO3,0.5,2.0,2.19
134,CaSO3,0.0,2.0,2.33
135,CaSO3,0.0,0.5,2.34
136,CaSO4,0.5,2.0,2.19
137,CaSO4,0.0,2.0,2.3
138,CaSO4,0.0,0.5,2.69
139,CaTeO3,0.0,1.0,2.35
140,CaZn2(PO4)2,1.0,2.0,2.91
141,CaZn2(PO4)2,0.67,2.0,2.97
142,CaZn2(PO4)2,0.0,2.0,3.09
143,CaZn2(PO4)2,0.67,1.0,2.88
144,CaZn2(PO4)2,0.0,1.0,3.04
145,CaZn2(PO4)2,0.0,0.67,3.12
146,Cd(ClO4)2,4.0,6.0,2.0
147,Cd(ClO4)2,0.0,6.0,2.39
148,Cd(NO3)2,2.0,4.0,2.17
149,Cd(NO3)2,0.0,4.0,2.47
150,Cd(NO3)2,0.0,2.0,2.84
151,CdBr2,0.0,4.0,3.0
152,CdCl2,2.5,4.0,2.52
153,CdCl2,1.0,4.0,2.85
154,CdCl2,0.0,4.0,3.05
155,CdCl2,1.0,2.5,2.55
156,CdCl2,0.0,2.5,2.76
157,CdCl2,0.0,1.0,3.21
158,CdF2,0.0,2.0,4.02
159,CdSeO4,0.0,1.0,4.3
160,CdSO4,1.0,2.67,3.5
161,CdSO4,0.0,2.67,3.77
162,CdSO4,0.0,1.0,3.78
163,Ce(NO3)3,3.0,4.0,2.21
165,CeBr3,0.0,7.0,2.8
166,CeCl3,6.0,7.0,1.59
167,CeCl3,0.0,7.0,2.24
168,CeCl3,0.0,6.0,2.28
169,CePO4,0.0,2.0,4.21
170,Co(ClO4)2,0.0,6.0,2.94
