idx,Base salt,Initial loading,Final loading,Fitness,Origin
1446,SrI2,2.0,9.0,57.37310085714285,s
756,NiSO4,0.0,1.0,93.3,e
3473,MgCl2,4.0,9.0,46.35855719999999,s
1458,GeF4,2.0,5.0,61.46401230666668,s
4360,PbI2,2.0,4.0,54.4257705,s
953,Zn(CH3COO)2,1.0,2.0,55.62,e
1605,SrI2,6.0,12.0,51.02040650000001,s
1676,MnCl4,3.0,5.0,54.47052,s
4951,LiOH,0.0,7.0,58.73517625714287,s
3999,MgI2,2.0,4.0,70.211184,s
1107,MnCl4,2.0,8.0,62.03494000000001,s
5194,Co3(AsO4)2,0.0,7.0,54.75576857142857,s
902,UO2Br2,0.0,3.0,65.03,e
4997,LiOH,0.0,3.0,58.2350496,s
3169,VCl2,0.0,8.0,59.875933437499995,s
2872,CrI3,6.0,9.0,48.999953,s
431,LaCl3,0.0,1.0,72.75,e
1222,NaF,0.0,4.0,57.56581532175001,s
2426,GeI4,0.0,8.0,47.624566,s
886,UF4,0.0,2.0,37.1,e
5309,BaHAsO4,2.0,7.0,48.48784644,s
978,ZnCl2,0.0,1.33,49.1,e
4353,HfF4,0.0,1.0,44.144775144,s
4431,LaI3,6.0,9.0,50.86487466666667,s
3362,MgI2,1.0,6.0,72.4595952,s
3424,HfF4,2.0,8.0,56.31976773066667,s
1252,SnF4,0.0,4.0,81.423487563,s
470,Mg(ClO4)2,0.0,6.0,66.74,e
3511,CrI3,0.0,6.0,59.75834475,s
1059,VCl4,0.0,8.0,65.52189575000001,s
4968,VPO4,0.0,9.0,62.2941228,s
201,CrCl2,0.0,4.0,61.3,e
5420,NaClO4,1.0,3.0,45.16405545,s
3638,ZnCl2,6.0,12.0,44.19132666666667,s
415,La(NO3)3,3.0,4.0,60.13,e
4476,FeCl2,9.0,12.0,23.383208,s
2360,BaI2,0.0,4.0,61.48966725,s
1097,MgBr2,4.0,12.0,56.579163375,s
170,Co(ClO4)2,0.0,6.0,22.0,e
179,CoBr2,0.0,4.0,46.9,e
2490,CaI2,1.0,4.0,64.71572400000001,s
5196,CaHPO4,0.0,3.0,58.93234230000001,s
3858,BaCl2,4.0,9.0,41.2265802,s
605,Na2CrO4,0.0,10.0,51.62,e
4875,Co3(AsO4)2,0.0,8.0,56.88201,s
2995,PbCl4,3.0,4.0,57.623239,s
2961,LaBr3,1.0,2.0,62.66793499999999,s
2187,YBr3,2.0,8.0,65.506185,s
5358,CrAsO4,7.0,11.0,42.73347,s
5079,LaAsO4,0.0,9.0,51.81747577777777,s
3155,ZnCl2,0.0,9.0,56.16946377777778,s
2760,SrCl2,2.0,4.0,44.45604600000001,s
682,NaI,0.0,2.0,55.98,e
235,CsGa(SeO4)2,0.0,12.0,55.28,e
1332,CaF2,0.0,4.0,52.8856899135,s
5301,FeAsO4,0.0,1.0,93.623728,s
1403,MgBr2,2.0,8.0,59.658112499999994,s
3618,MnBr4,3.0,8.0,67.0924276,s
4599,ZrBr4,2.0,3.0,64.756501,s
1111,CrI3,0.0,9.0,59.74882533333333,s
5092,CaHPO4,1.0,7.0,53.7128526,s
398,KCr(SO4)2,6.0,12.0,52.4,e
4199,PbCl2,2.0,4.0,52.303644,s
5589,Mn2P2O7,0.0,1.0,66.4035504,s
5064,LiClO4,1.0,9.0,47.28406450000001,s
4183,TiBr4,5.0,8.0,56.77021466666667,s
4472,SnF4,4.0,5.0,57.215926628,s
808,Sm2(CrO4)3,2.0,7.0,55.33,e
1832,VF2,0.0,12.0,60.108306282,s
1168,AlBr3,6.0,9.0,49.82138654666667,s
3742,SrBr2,0.0,2.0,67.746462,s
1560,VF3,3.0,6.0,39.037591869,s
386,K4Fe(CN)6,0.0,3.0,50.52,e
3173,MgI2,1.0,12.0,69.79652254545455,s
856,SrCl2,0.0,6.0,61.22,e
4338,NiCl2,1.0,2.0,44.58154199999999,s
2967,ZnI2,6.0,8.0,37.65321399999999,s
101,Ca5Si6O17,3.0,5.5,51.44,e
80,Ca(Al2Si2O6)2,2.0,4.0,53.15,e
795,RbOH,1.0,2.0,62.78,e
3676,NiI2,4.0,12.0,47.37525875,s
4059,YCl3,4.0,6.0,61.408795950000005,s
2446,GaBr3,0.0,3.0,63.85079300000001,s
1048,SrCl2,0.0,12.0,61.108303500000005,s
3412,YCl3,2.0,8.0,58.901409750000006,s
4779,Na2Se,0.0,5.0,74.739054104,s
2394,MgI2,0.0,2.0,81.363296,s
2632,LaI3,3.0,6.0,71.51677866666667,s
5014,SrSO4,0.0,11.0,56.929260363636374,s
4243,MgBr2,9.0,12.0,42.312738,s
1672,SrI2,4.0,7.0,50.88432133333333,s
5348,Co2As2O7,2.0,6.0,51.95302100000001,s
79,Ca(Al2Si2O6)2,3.5,4.0,43.53,e
2093,CaI2,2.0,12.0,61.62507000000001,s
1497,RbBr,0.0,4.0,51.81949035,s
2531,NiCl3,3.0,6.0,47.98377600000001,s
5446,Pb(IO3)2,2.0,6.0,45.60724149999999,s
4369,NiF2,6.0,8.0,27.275358633,s
2777,GaI3,3.0,6.0,49.438893,s
2580,VBr4,0.0,3.0,56.89673500000001,s
5445,Ca3(PO4)2,7.0,11.0,46.8247332,s
582,MnSO4,0.0,5.0,53.66,e
3213,SnF4,0.0,3.0,83.82154224399999,s
5408,CaHAsO4,1.0,3.0,54.0092925,s
1662,MnCl2,6.0,9.0,34.238873,s
3332,CrBr4,0.0,8.0,62.661438,s
5058,Ni3(AsO4)2,0.0,8.0,64.291278,s
4324,CaBr2,4.0,6.0,42.58319899999999,s
